id,Team,Runner,Yards,RunTime,Mintime,Maxtime,Avg,Nationality,Gen,Age,Comments,Yard1,Yard2,Yard3,Yard4,Yard5,Yard6,Yard7,Yard8,Yard9,Yard10,Yard11,Yard12,Yard13,Yard14,Yard15,Yard16,Yard17,Yard18,Yard19,Yard20,Yard21,Yard22,Yard23,Yard24,Yard25,Yard26,Yard27,Yard28,Yard29,Yard30,Yard31,Yard32,Yard33,Yard34,Yard35,Yard36,Yard37,Yard38,Yard39,Yard40,Yard41,Yard42,Yard43,Yard44,Yard45,Yard46,Yard47,Yard48,Yard49,Yard50,Yard51,Yard52,Yard53,Yard54,Yard55,Yard56,Yard57,Yard58,Yard59,Yard60,Yard61,Yard62,Yard63,Yard64,Yard65,Yard66,Yard67,Yard68,Yard69,Yard70,Yard71,Yard72,Yard73,Yard74,Yard75,Yard76,Yard77,Yard78,Yard79,Yard80,Yard81,Yard82,Yard83,Yard84,Yard85,Yard86,Yard87,Yard88,Yard89,Yard90,Yard91,Yard92,Yard93,Yard94,Yard95,Yard96
85,Canada,Greg Courtice,32,25:42:49,43:47,53:47,48:13,Canadian,M,32,21 yards,46:32,49:05,47:56,48:29,49:52,46:11,43:47,48:56,50:21,46:18,48:09,49:58,48:33,49:13,48:04,48:15,50:07,48:18,49:31,48:23,48:36,47:04,49:29,49:14,47:29,46:05,49:16,45:53,44:50,47:56,47:12,53:47,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Sweden,Marcus Ekenstierna,32,26:13:35,46:42,55:18,49:10,Sweden,M,35,Best perf 29 yards,50:20,50:05,49:59,49:26,49:00,48:17,49:40,49:05,48:32,48:22,48:32,48:33,46:42,48:28,47:16,48:56,47:09,49:13,48:06,48:43,48:05,48:33,48:45,48:01,48:42,48:50,49:06,49:02,50:04,51:53,52:52,55:18,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Japan,Hisayuki TATENO,32,26:21:23,46:41,56:50,49:25,Japan,M,49,Winner of Last Samurai Standing ,47:45,47:09,47:50,48:05,47:39,48:40,48:43,48:56,48:35,47:37,47:18,46:41,47:23,46:55,47:15,47:38,47:44,47:41,47:49,49:01,49:22,51:10,53:25,51:03,51:25,52:13,52:10,51:21,51:01,52:04,52:55,56:50,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Denmark,Gotfred Witthøft Skjødeberg,32,26:35:04,45:00,56:00,49:51,Danish,M,38,23 yards 2020,45:00,47:00,47:00,47:00,49:00,47:00,49:00,49:10,50:40,48:29,48:30,49:25,50:50,51:30,51:50,50:40,50:05,47:20,46:10,48:00,48:10,49:05,49:50,50:50,50:05,51:50,51:35,51:40,53:45,54:00,54:35,56:00,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Ireland,Jill McCann,32,27:14:49,44:34,58:12,51:05,Northern Ireland,F,,,47:23,49:51,49:59,49:24,49:20,51:17,49:49,50:53,51:13,51:14,52:03,52:03,52:00,52:58,51:15,48:39,52:30,50:36,52:12,52:01,50:52,50:48,44:34,50:49,46:49,48:49,51:43,53:23,53:01,53:43,55:26,58:12,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Switzerland,Niklas Sjöblom,32,27:22:16,25:57,55:24,51:19,Sweden,M,36,"best: 41, 2x BY= 2x finisher",48:58,55:24,51:41,54:25,53:37,54:31,52:09,53:00,51:42,51:44,53:23,51:03,51:52,53:02,52:35,52:46,53:13,51:26,51:08,51:51,51:21,51:36,51:08,50:17,53:36,48:50,51:34,50:47,53:43,51:19,52:38,25:57,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,United States,Aaron Ellison,32,27:39:55,47:48,55:24,51:52,USA,M,44,GT (27 yards),52:31,52:32,53:07,52:59,53:01,53:19,52:30,52:40,54:57,53:52,53:43,47:48,48:57,49:21,50:10,47:50,48:14,48:20,49:50,50:02,50:35,52:21,51:05,48:11,54:40,52:17,52:37,54:05,52:53,55:05,55:24,54:59,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Ireland,Marty Hagan,32,28:10:37,47:02,58:13,52:50,Northern Ireland,M,,,47:02,49:53,49:40,50:47,52:02,52:10,51:54,52:07,52:40,52:11,52:50,52:49,52:40,52:26,53:31,53:46,53:36,54:08,53:37,52:18,51:40,52:03,52:28,52:26,52:41,52:52,54:12,55:02,54:43,56:01,56:09,58:13,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sweden,Leonora Johnson,32,29:29:23,53:24,58:24,55:18,Sweden,F,24,Best perf 26 yards,55:22,55:12,54:38,53:24,54:55,54:48,55:29,55:19,55:20,55:24,55:01,55:21,54:58,54:44,55:23,55:17,54:55,55:00,54:19,54:36,54:50,54:59,54:56,54:43,55:00,54:52,55:38,55:07,55:26,58:04,57:59,58:24,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Belgium,Bastiaens Wim,31,21:41:28,37:14,53:41,41:59,BE,M,42,,37:14,38:45,40:19,40:45,41:18,41:41,42:29,41:58,42:18,42:22,41:48,41:40,41:55,42:03,41:54,40:54,41:49,40:29,39:55,39:26,40:03,40:22,40:04,40:14,40:57,41:56,43:46,43:34,44:26,51:23,53:41,RTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
